epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
114,15154.4,0.08828,0.89811,1,nan,0.000734564,0.000734564,0.000734564
115,15282.7,0.0583,0.89811,1,nan,0.000726312,0.000726312,0.000726312
116,15412,0.05876,0.89811,1,nan,0.00071806,0.00071806,0.00071806
117,15541,0.07057,0.89811,1,nan,0.000709809,0.000709809,0.000709809
118,15671.2,0.05004,0.89811,1,nan,0.000701557,0.000701557,0.000701557
119,15802.8,0.06274,0.89811,1,nan,0.000693305,0.000693305,0.000693305
120,15932.7,0.06045,0.89811,1,nan,0.000685054,0.000685054,0.000685054
121,16061.6,0.09691,0.89811,1,nan,0.000676802,0.000676802,0.000676802
122,16194.2,0.05764,0.89811,1,nan,0.00066855,0.00066855,0.00066855
123,16324.2,0.07401,0.89811,1,nan,0.000660299,0.000660299,0.000660299
124,16456,0.05745,0.89811,1,nan,0.000652047,0.000652047,0.000652047
125,16589.8,0.05438,0.89811,1,nan,0.000643795,0.000643795,0.000643795
